 Moyenne avec cache chaud 16:32
3290 1.32942e-09 6.31578e-11 21.0492 22 8820 
3619 1.3778e-09 6.39714e-11 21.5377 22 675 
3981 1.4266e-09 7.85863e-11 18.1533 22 -6165 
4379 1.49729e-09 8.4002e-11 17.8245 22 6165 
4817 1.55847e-09 9.41761e-11 16.5484 22 -6210 
5299 1.42349e-09 1.0709e-10 13.2925 22 -2475 
5829 1.4556e-09 1.18381e-10 12.2959 22 90 
6412 1.56262e-09 1.34885e-10 11.5848 22 -8055 
7053 1.59701e-09 1.37595e-10 11.6066 22 4995 
7758 1.66509e-09 1.48833e-10 11.1877 22 8055 
8534 1.74229e-09 1.53079e-10 11.3816 22 10575 
9388 1.85821e-09 1.56797e-10 11.8511 22 -7560 
10326 1.85444e-09 1.68625e-10 10.9974 22 -3420 
11359 1.9465e-09 1.76208e-10 11.0466 22 10035 
12495 2.00864e-09 1.92444e-10 10.4375 22 9450 
13745 2.04974e-09 2.14205e-10 9.56908 22 -4275 
15119 2.1092e-09 2.43996e-10 8.64441 22 2160 
16631 1.79573e-09 2.85622e-10 6.28711 22 6975 
18294 1.77869e-09 2.90532e-10 6.12219 22 315 
20124 1.84701e-09 3.14235e-10 5.87779 22 -1260 
22136 1.84974e-09 3.36905e-10 5.49039 22 5175 
24350 1.82454e-09 3.71372e-10 4.91297 22 6660 
26785 1.83045e-09 3.78781e-10 4.83248 22 -7200 
29463 1.86841e-09 3.93433e-10 4.74899 22 2835 
32410 1.85087e-09 4.04795e-10 4.57236 22 -10575 
8 4.63867e-10 7.3457e-09 0.0631481 24 270 
16 6.01563e-10 3.91943e-09 0.153482 24 8775 
24 6.12305e-10 2.72689e-09 0.224543 24 2700 
32 6.30859e-10 2.00635e-09 0.314432 24 -3600 
40 6.27344e-10 1.54238e-09 0.406737 24 -5580 
48 6.24837e-10 1.43799e-09 0.434522 24 3150 
56 6.26116e-10 1.20494e-09 0.519625 24 -6390 
64 7.78687e-10 1.06165e-09 0.733471 24 1530 
72 6.23047e-10 9.64301e-10 0.646112 24 -2430 
80 6.25391e-10 8.05371e-10 0.776525 24 -4275 
88 5.99165e-10 7.00373e-10 0.855495 24 -3150 
96 5.49556e-10 6.71913e-10 0.817898 24 -2340 
106 5.07007e-10 6.19635e-10 0.818236 24 -7515 
117 5.4973e-10 5.49797e-10 0.999879 24 9675 
128 5.13766e-10 4.82535e-10 1.06472 24 -5895 
141 5.1392e-10 4.56365e-10 1.12612 24 5085 
155 5.16139e-10 4.35395e-10 1.18545 24 1485 
171 5.09728e-10 4.12539e-10 1.23559 24 -10530 
188 5.04246e-10 3.43813e-10 1.46663 24 -12060 
207 5.10601e-10 3.17869e-10 1.60633 24 -7380 
228 5.8278e-10 2.83499e-10 2.05567 24 5040 
251 5.0873e-10 3.07336e-10 1.65529 24 -2115 
276 6.40137e-10 2.6542e-10 2.41179 24 8415 
303 6.0196e-10 2.40959e-10 2.49819 24 1620 
334 6.23781e-10 2.39238e-10 2.60737 24 1845 
367 6.96605e-10 2.08414e-10 3.34241 24 -5580 
404 8.56237e-10 1.88675e-10 4.53815 24 12465 
444 9.26791e-10 1.76479e-10 5.25157 24 4770 
489 1.01219e-09 1.63185e-10 6.2027 24 9765 
538 1.10605e-09 1.57831e-10 7.00782 24 7965 
591 1.16414e-09 1.44816e-10 8.03874 24 -10395 
651 1.19794e-09 1.30633e-10 9.17031 24 3645 
716 1.21193e-09 1.24059e-10 9.76899 24 -10530 
787 1.206e-09 1.07545e-10 11.2139 24 1305 
866 1.20716e-09 1.02168e-10 11.8154 24 5625 
953 1.20765e-09 9.68067e-11 12.4749 24 4365 
1048 1.20847e-09 9.78645e-11 12.3484 24 -3105 
1153 1.20856e-09 8.82162e-11 13.7 24 -1125 
1268 1.20627e-09 7.90822e-11 15.2533 24 2475 
1395 1.21111e-09 7.55321e-11 16.0343 24 0 
1535 1.19976e-09 7.68088e-11 15.6201 24 -3285 
1688 1.21417e-09 7.21305e-11 16.833 24 1530 
1857 1.21246e-09 7.1138e-11 17.0437 24 -2475 
2043 1.22457e-09 6.6541e-11 18.4033 24 1710 
2247 1.22913e-09 6.56748e-11 18.7153 24 -10035 
2472 1.23865e-09 6.46564e-11 19.1574 24 -5580 
2719 1.23988e-09 6.1706e-11 20.0933 24 -1215 
2991 1.25622e-09 5.99618e-11 20.9503 24 1935 
3290 1.28181e-09 6.05556e-11 21.1674 24 3015 
3619 1.32506e-09 6.00366e-11 22.0708 24 -3150 
3981 1.37127e-09 6.37069e-11 21.5246 24 540 
4379 1.42875e-09 7.26319e-11 19.6711 24 2520 
4817 1.48206e-09 8.05607e-11 18.3968 24 -6390 
5299 1.57848e-09 9.6213e-11 16.4061 24 -15390 
5829 1.6258e-09 1.11097e-10 14.634 24 -10440 
6412 1.72915e-09 1.18102e-10 14.6411 24 9855 
7053 1.73607e-09 1.27539e-10 13.6121 24 -4815 
7758 1.57799e-09 1.35293e-10 11.6636 24 1305 
8534 1.62096e-09 1.41992e-10 11.4158 24 6525 
9388 1.7345e-09 1.45829e-10 11.8941 24 5985 
10326 1.7432e-09 1.53408e-10 11.3631 24 -2925 
11359 1.8321e-09 1.67497e-10 10.9381 24 -765 
12495 1.89579e-09 1.86631e-10 10.158 24 -5445 
13745 1.9346e-09 2.0746e-10 9.32518 24 12870 
