 Moyenne avec cache chaud 16:32
5299 1.74346e-09 1.42875e-10 12.2027 32 1.65905e+08 
5829 1.7592e-09 1.54651e-10 11.3753 32 1.51468e+09 
6412 1.7767e-09 1.7118e-10 10.3791 32 3.35044e+08 
7053 1.81024e-09 1.7871e-10 10.1295 32 3.21864e+08 
7758 1.81426e-09 1.93984e-10 9.3526 32 -5.20177e+08 
8534 1.82915e-09 1.99826e-10 9.15372 32 -7.57742e+08 
9388 1.83166e-09 2.06946e-10 8.85094 32 1.27071e+09 
10326 1.83255e-09 2.16569e-10 8.46173 32 4.51586e+08 
11359 1.86484e-09 2.13022e-10 8.75421 32 -1.74809e+09 
12495 1.87731e-09 2.33711e-10 8.03263 32 1.37529e+09 
13745 1.88302e-09 2.60986e-10 7.21502 32 -2.66667e+09 
15119 1.90041e-09 2.8929e-10 6.56924 32 -4.96103e+08 
16631 1.89393e-09 3.08747e-10 6.13424 32 -2.40623e+09 
18294 1.88995e-09 3.27555e-10 5.76988 32 -2.34374e+08 
20124 1.89544e-09 3.4718e-10 5.45952 32 -3.74263e+08 
22136 1.93061e-09 3.71094e-10 5.20247 32 -8.64622e+08 
24350 1.83121e-09 4.31907e-10 4.23983 32 -1.78426e+09 
26785 1.81288e-09 4.44593e-10 4.07763 32 2.87447e+08 
29463 1.79318e-09 4.507e-10 3.97864 32 1.72993e+09 
32410 1.81819e-09 4.64856e-10 3.91129 32 1.95553e+09 
